,Título,Apoyos,Fecha,Categoría,Categoría Completa,Autores,URL,Descripción
1523,Poder ejecutivo sobre su duración ,24,2022-01-10 16:41:24,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Sebastián Vera M.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La actual duración del gobierno de turno es muy poca en años si se quiere implementar de manera eficiente los programas de trabajo que presenta cada nuevo presidente. Si bien es cierto aun no está definido el sistema que gobernará los próximos años, es deber del ejecutivo presentar un plan de trabajo el cual pueda ser bien desarrollado y para eso es necesario la ampliación de duración de cada régimen."
1524,INICIATIVA POPULAR POR EL DERECHO A LA LIBERTAD DE EXPRESION,6406,2022-01-10 16:39:21,derechos,4 - Derechos Fundamentales,Por Ciudadanos por la Libertad,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La Libertad de expresión es un derecho humano fundamental, que permite a toda persona natural o jurídica de una sociedad, buscar, recibir, leer y difundir todo tipo de información e ideas en todos los ámbitos del quehacer humano, de cualquier forma y en cualquier medio, sin estar sujetos a censura previa, a ser sancionados, perseguidos o a represalias ulteriores, sino solamente a responsabilidades posteriores, en casos de exceder los límites a esta libertad, expresamente fijadas por la ley. 
La libertad de expresión es un derecho de la máxima importancia para garantizar la existencia de una plena democracia y del Estado de Derecho, además de ser una garantía para que los ciudadanos podamos expresar libremente críticas contra las acciones gubernamentales, comentarios sobre cargos públicos o denuncias sobre la violación de ciertos derechos, sin temor a ser censurados o impedidos de expresar nuestras opiniones por parte de quienes sustentan el poder.
La libertad de expresión, como toda libertad, también tiene límites y quienes la ejercen debe tener siempre presente que deben responder de los delitos y abusos que cometan ejerciendo esas libertades. Es el caso de quien injurie o calumnie, con o sin publicidad, entendiendo por injuria toda expresión proferida o acción ejecutada en deshonra, descrédito o menosprecio de otra persona.  La calumnia es la imputación de un delito determinado pero falso, lo que en ambos casos constituyen delitos y están sancionados por la Ley. Si las penas asociadas a estos delitos son las que corresponden o deben actualizarse, no es materia que deba resolver una nueva constitución. 
Para nosotros, Ciudadanos por la Libertad, consagrar en la Constitución Política el Derecho a la Libertad de Expresión es un derecho humano fundamental, por lo cual nos hemos unido para presentar este proyecto de iniciativa popular y ser sometido a la consideración de esta Convención Constitucional."
1525,Seguridad Social: Sistema de Protección Social para un Chile Justo y Solidario,1994,2022-01-10 16:38:58,derechos,4 - Derechos Fundamentales,Por CONFUSAM,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Carencia normativa de un sistema de Seguridad Social entendido en los cánones del Convenio, de normas mínimas, N°102 de la OIT."
1526,FIN AL FUERO PARLAMENTARIO,442,2022-01-10 16:38:43,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Adolfo Vargas Q.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Terminar con el fuero parlamentario, el que genera que los diputados y senadores tengan impunidad ante actos en los que cualquier ciudadano sería puesto bajo acción judicial."
1527,Reconocimiento Constitucional de las Mipymes,210,2022-01-10 16:38:25,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Convergencia Nacional de Gremios y Cooperativas de Chile,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Si bien las Mipymes representan un 98,6% de las empresas registradas en el SII, sus ventas sólo son un 13,9% del total, cifra que año a año se deteriora, al igual que la cantidad de trabajadores dependientes registrados que alcanzan al 49,2%.
Los esfuerzos realizados por el estado hasta ahora resultan insuficientes para garantizar que las Empresas de Menor Tamaño, puedan desarrollarse, ser competitivas y protegidas respecto del abuso de posición dominante ejercido por las grandes empresas, las organizaciones que las agrupan y los grupos de poder que hay detrás de ellas y que, muchas veces, mediante prácticas depredatorias tales como la concentración de mercados, acciones monopólicas e integración vertical, impiden sistemáticamente que las Mipymes sean sustentables y puedan alcanzar una mayor participación del mercado y ser aún más importantes en la generación de trabajo.
La situación anteriormente descrita, a la vez es un desincentivo a la mayor formalización y creación de EMT, ya que son condenadas desde su nacimiento a condiciones que limitan su desarrollo.
Las herramientas actuales para proteger a las Mipymes son insuficientes e incompletas, se cuenta con la Ley N° 20.146, Estatuto Pyme, que en la práctica nunca ha entrado en vigencia y la vez muchas veces no se considera, ni se conoce por parte de legisladores y representantes del ejecutivo. Se cuenta con una Subsecretaría de Economía y Empresas de Menor Tamaño y una división de EMT, sin embargo, ambas son irrelevantes y sus autoridades son de carácter eminentemente político, con desconocimiento y poca afinidad con los problemas y dinámicas propias de las Mipymes.
En definitiva, son más de un millón de empresas formales y un número indeterminado de unidades de negocios informales que requieren de herramientas que las protejan y permitan su sostenibilidad.
Consideramos importante que el Estado valore el aporte de las Mipymes en la sociedad, generando instancias reales y efectivas de dialogo, que permitan l"
1528,Reducción sueldo altos cargos administración pública ,476,2022-01-10 16:37:50,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Jaime Muñoz C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Fijar tope de sueldos a altos cargos de la administración pública,eliminar privilegios, Incluidos los legisladores."
1529,IGUALDAD DE DERECHO DE ASISTENCIA JURIDICA Y ABOGADO GRATUITO PARA VICTIMAS DE DELITOS,216,2022-01-10 16:37:36,justicia,"6 - Sistema de Justicia, Órganos Autónomos de Control y Reforma Constitucional",Por Fernando Frenkel B.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El actual sistema de justicia en Chile, entrega derechos constitucionales de contar con una defensa gratuita proporcionada por el estado a personas que son inculpadas de cometer delitos, pero no se cuenta con el mismo derecho para las victimas de delitos."
1530,DRERECHO CIUDADANO A LA EQUIDAD,29,2022-01-10 16:37:09,derechos,4 - Derechos Fundamentales,Por Julio Fernández I.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"¿La Equidad y la Igualdad pueden ser un derecho ciudadano? Quizás la igualdad no puesto que, en la vida de un ser humano, de un ciudadano, depende de muchos factores circunstanciales, no solo de las condicionantes de entorno socio-político-económico.   La Equidad SI, en el entendido de que, una sociedad puede alcanzar la Equidad, o bien, tender a alcanzarla, si todo o gran parte de su sistema político, social, económico, legislativo, gubernamental, están orientados a lograrlo.  Lo que ha ocurrido en Chile, para producir los niveles de desigualdad que tenemos es el hecho de que gran parte de todo el sistema favorece y promueve la INEQUIDAD,  fundamentado en principios como:
     Ráscate con tus propias uñas
     Compite con tu vecino en tener la mejor casa, el mejor auto, la mejor tele.
     Esa especie de percepción de justicia  que manifiestan sectores importantes de la ciudadanía, en cuanto a que es justo que los ricos tengan condiciones mejores de salud, educación, jubilación, vivienda...etc,.
     Si te metes en un partido político, en un club deportivo, junta de vecinos, grupo religioso, ve la forma de sacar TU situaciones ventajosas a tus intereses, por sobre los demás.
     Existe un concepto hipócrita de la solidaridad:  Somos muy solidarios para la teletón, en el Chile ayuda a Chile, para llevar alguna ayuda a quienes viven en la calle pero solo en Navidad pero a la hora de hablar de solidaridad en un sistema de seguridad social en donde todos aportemos, salen a la luz los defensores de NO TE METAS CON MIS LUCAS,  no toques mis fondos etc, aunque con esos fondos propios, nunca vayan a lograr ni siquiera una pensión digna para ellos.
La Equidad SI puede ser un Derecho Ciudadano Constitucional si todo el sistema político, económico, gubernamental, efectivamente está orientado a establecer y promover las condiciones para que los ciudadanos tengan acceso a todos sus derechos fundamentales  en  condiciones equitativas."
1531,Los recursos naturales son propiedad de los pueblos de Chile,278,2022-01-10 16:36:47,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Iván Guzmán L.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Las concesiones mineras permiten que privados exploten recursos naturales muchas veces no apagándose a las leyes medioambientales y otras haciéndoles caso omiso a su norma para así solamente pagar una multa irrisoria en contraste a las ganancias estratosféricas lo cual promueve el daño al medioambiente, la salud de las personas y las potenciales ganancias del estado al solo verse recaudado un impuesto a la renta o royalty minero según al mineral que corresponda."
1532,DERECHO A LA ASISTENCIA PERSONAL PARA LAS PERSONAS EN SITUACIÓN DE DISCAPACIDAD PARA EJERCER CON AUTONOMÍA LOS DEMÁS DERECHOS FUNDAMENTALES,115,2022-01-10 16:36:34,derechos,4 - Derechos Fundamentales,Por Colectivo de Personas en Situación de Discapacidad,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En la vida diaria, se evidencian los obstáculos a los cuales tienen que enfrentarse las personas en situación de discapacidad: impedimentos urbanísticos y arquitectónicos, falta de participación activa en el mundo laboral, impedimento para ingresar a la escena política, económica, social y educacional, dificultades al acceso de los servicios de salud, a la formación profesional, desigualdades contractuales y de condiciones de acceso y remuneración en el mercado laboral.
Es por aquello que la participación activa en la sociedad de las personas en situación de discapacidad, de forma autónoma, sin representantes ni a través de cuidadores, en igualdad de condiciones que las demás personas, es un derecho inherente, por lo mismo, se hace menester potenciar la asistencia personal, como una forma de inclusión, dejando atrás un concepto de cuidados parentales en personas en situación de discapacidad."
1533,Organismo Fiscalizador de actos del SERVEL,19,2022-01-10 16:36:11,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Renato Córdova A.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"No hay un Organo Fiscalizar que vea los actos del SERVEL que digan relacion con el correcto manejo de su presupuesto y pagos al personal del SERVEL y tampoco un ente que defina el pago a Candidatos que realmente sean elegidos, debiendose a estos ultimo el que se les pague y no a todos."
1534,CREACION POPULAR DE COMUNAS,18,2022-01-10 16:35:13,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Oscar Albornoz T.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"por mi vida profesional dedicada al municipalismo he conocido y percibido que en muchas ciudades determinados conglomerados de nacionales no son considerados por la administración comunal en su territorio, su identidad y cultura y esto genera un perjuicio en la planificación de servicios y soluciones asignándoles un menor presupuesto local que les permita tener una mejor o más equitativa vida con respecto a los demás vecinos una misma comuna o ciudad."
1535,"Derecho a la seguridad social para todos los trabajadores, subsidio de cesantia público y privado",443,2022-01-10 16:34:09,derechos,4 - Derechos Fundamentales,Por Ajunji biobio,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El derecho a la seguridad se define como el conjunto de medidas que busca proteger a los trabajadores y familias, aliviando sus necesidades económicas frente a una contingencia o necesidad. una de las principales contingencias de los trabajadores es el Desempleo, sobretodo ahora enfrentando crisis económica, pero no todos los trabajadores tenemos el. Derecho a obtener el subsidio de cesantia y es ahí donde proponemos la. Oportunidad de igualar las oportunidades y que los funcionarios publicos también cuenten con esa garantia que actualmente no se tiene y que al ser despedidos no hay ninguna ayuda económica, ni indemnización por años de servicio que permita a nuestras familias solventar las necesidades básicas a la espera de obtener un nuevo trabajo."
1536,CONSAGRA A LAS PERSONAS EN SITUACIÓN DE DISCAPACIDAD COMO PERSONAS SUJETOS DE DERECHO,215,2022-01-10 16:33:36,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Colectivo de Personas en Situación de Discapacidad,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En Chile se priva a las Personas en Situación de Discapacidad de los Derechos Humanos internacionalmente consensuados por los países desarrollados.
Privar a la persona en situación de discapacidad de la capacidad de ejercicio de sus derechos, también la priva de la posibilidad de ser escuchada y de decidir, sumiéndola en una situación de total impotencia y excluyéndola por esa vía de la posibilidad de participar activa y eficazmente en la sociedad en igualdad con las demás personas, y en cuestiones relacionadas con el ejercicio de sus derechos fundamentales (acceso a la justicia, libertad y seguridad, protección contra la tortura, protección contrala violencia, la explotación y el abuso, protección de la integridad personal, respeto del hogar y de familia, derecho a la salud, trabajo y empleo, participación en la vida política y pública, entre otros). 
Esto, a su vez, pone a la persona con discapacidad en situación de mayor vulneración.
Debe señalarse que muchas veces son las percepciones circulantes, enraizadas culturalmente en el hábito social, las que fundan estas restricciones de derechos, por lo tanto la Convención sobre los Derechos de las Personas con Discapacidad compromete a los Estados y a toda la sociedad a luchar contra los estereotipos y prejuicios y promover la toma de conciencia respecto de la dignidad y derechos de la diversidad humana en condiciones de igual valor y equidad, y sobre el principio de no discriminación en base a corporalidades divergentes. 
En efecto, las medidas legislativas no son suficientes para garantizar la igualdad efectiva de las personas en situación de discapacidad en todos los ámbitos de la vida, por lo que deberán ir acompañadas de medidas, en los planos judicial, administrativo, educativo, cultural, financiero y social, entre otros. 
Los prejuicios acerca de la discapacidad tienen dos aspectos principales. Por un lado, son una serie de representaciones socio-políticas, imaginerías, estereotipos y falsas ideas, constru"
1537,"Educación integral, inclusiva y gratuita como derecho fundamental desde sala cuna hasta la vida laboral.",303,2022-01-10 16:33:24,derechos,4 - Derechos Fundamentales,Por Hugo Valdebenito H.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La educación es parte fundamental del desarrollo de un país y de la erradicación de muchos problemas que nos afectan como chilenos, como por ejemplo la delincuencia, las pocas oportunidades, bajos sueldos, etc. Países desarrollados han llegado a serlo gracias casi exclusivamente a una educación como derecho fundamental consolidado. La educación para un país no debe ser considerada como un gasto, sino como una inversión que puede ser muy rentable para el estado, la calidad de vida de las personas y de la sociedad en general si esta es manejada de manera adecuada por el estado tomando en consideración las necesidades del estado, las empresas,  las personas y dejando por cierto de lado la idea arraigada en Chile de ver la educación como un negocio lucrativo. Esto ultimo trae sobre oferta de profesionales, que en muchos casos no recibieron una educación de calidad y no se condice tampoco con la demanda de fuerza laboral lo que lleva a cesantía, deudas educativas, frustración,  delincuencia, problemas mentales e incluso suicidio en la población.  Por otro lado esta educación también debe incluir a los oficios fundamentales que se han dejado de lado, donde hay nula instrucción y que por cierto son tanto o incluso mas importantes que las llamadas carreras ""Profesionales"", generando una división segregadora y sin sentido entre los que llevan a cabo un oficio, como puede ser un carpintero, albañil, etc. comparado con un ingeniero, medico abogado, etc.  Todos podemos estar instruidos en nuestro oficio y por tanto cobrar lo que corresponde a un trabajo de calidad.  El poco acceso a la educación de calidad y gratuidad conlleva personas poco calificadas también para los puestos disponibles y por lo tanto una poca productividad y capacidad de poder generar una industria en chile que permita generar valor agregado a nuestros recursos naturales y ser proveedores de productos diversos tanto dentro como fuera de Chile. La educación permite optimizar nuestros recursos naturales, no ab"
1538,Propuesta de Refundación de Carabineros,1555,2022-01-10 16:32:58,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Observatorio por el Cierre de la Escuela de las Américas,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Desde su creación como Estado independiente, Chile no ha contado con una fuerza policial que dé cabal respuesta a la problemática de la delincuencia y la seguridad pública. Contrario a ello, las distintas policías que han operado en el país fueron utilizadas para el control social políticamente impuesto por las élites gobernantes provocando una gran cantidad masacres que enlutecen nuestra sociedad. Tampoco ha sido contribuyente a lograr una cohesión social que impulsara el desarrollo del país, a pesar de la gran cantidad de acciones de responsabilidad social realizadas por las fuerzas policiales en períodos de catástrofes, emergencias de diversa índole y la superación del aislamiento que afecta a una gran cantidad de lugares. A partir del golpe de estado del 11 de septiembre de 1973 se extremó la militarización de la institución policial adscribiendo su doctrina a la Doctrina de Seguridad Nacional impuesta por Estados Unidos en todo Latinoamérica. La pervivencia de una doctrina antidemocrática que identifica al conjunto de la población no alineado con las líneas políticas imperantes como enemigos internos ha provocado un continuo de violaciones a los derechos humanos que se incrementan fuertemente cuando se despliega la movilización social. El ejemplo más sustantivo de esta situación son las graves, masivas y sistemáticas violaciones a los derechos humanos cometidas por la fuerza policial con ocasión del estallido social del 18 de octubre de 2019, lo que ha sido corroborado por una gran cantidad de informes condenatorios por parte de organismos nacionales e internacionales de derechos humanos."
1539,HERENCIA: Derecho de propiedad que permita heredar a quien uno estime conveniente,263,2022-01-10 16:32:39,derechos,4 - Derechos Fundamentales,Por Marcela García V.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La ley vigente no respeta el derecho a la propiedad en materia de herencia. Es injusto que la ley, basándose exclusivamente en los lazos consanguíneos/legales, determine quién hereda de manera obligatoria lo que una persona ha luchado toda su vida por conseguir. En la actualidad, cada persona en Chile tiene derecho de disponer libremente SOLO del 25% de sus posesiones. El resto, lo decide la ley. Es decir, el Derecho de Propiedad se garantiza solamente mientras la persona vive, pero al momento de morir, este derecho se pierde. ¿Por qué no puede alguien disponer en vida de lo que pasará con TODOS sus bienes al momento de fallecer?"
1540,Reconocimiento de derechos de las Personas con Discapacidad,101,2022-01-10 16:32:21,derechos,4 - Derechos Fundamentales,Por Pablo Durán P.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Discriminación laboral masiva a personas con discapacidad.
1541,LIMITACION A LOS PERIODOS PARA EJERCICIO PARLAMENTARIO Y PROBIDAD,67,2022-01-10 16:32:07,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Jorge Benavides Y.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El gran desprestigio de los políticos, ha sido la desconexión con la realidad y las necesidades de la ciudadanía  y la corrupción, esta ultima  es debido en gran medida, al excesivo tiempo en el cargo, generando redes de contactos para beneficio mutuo con los grupos de poder, los cargos de representación popular son para servir a los ciudadanos y no para enriquecerse en cargos públicos."
1542,"Preámbulo interpretativo que declara el Estados Social y Ecológico, y la forma política de una ecodemocratica.",17,2022-01-10 16:31:55,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Rodolfo Marcone L.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La necesidad de reconocer el carácter social y ecológico al Estado de Chile en un preámbulo interpretativo general  de la norma constitucional. Es de extrema relevancia, para poder guiar el cambio y adaptación de toda la estructura jurídica a esta nueva forma política jurídica contenida en la norma fundamental. Reconocer que la norma fundamental constitucional tiene una raíz ontológica profundamente ética."
1543,TítuloEditar Reconocimiento constitucional a las personas con discapacidad. Garantía de dignidad y calidad de vida,70,2022-01-10 16:31:39,derechos,4 - Derechos Fundamentales,Por Daniela González M.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En la actualidad existe discriminación a las personas con discapacidad, la igualdad intentada por las leyes actuales no sé cumple, sobretodo en la discapacidad visual. En el área laboral, los empleadores no cumplen con cupos de discapacidad. No hay por lo tanto acceso al trabajo, por lo que no hay remuneraciones justas y las personas no vive en dignidad ya que solo recibe una pensión asistencial que es revocada luego de los 65 años y son pasando al grupo masivo de todas las personas que no tienen imposiciones por otros motivos. Siendo está situación injusta y discriminatoria porque no se puede igualar a una persona discapacitada con quién no la tiene.

Hay una falta de reconocimiento a las personas con discapacidad en todos los aspectos sociales que requiere norma expresa que otorgue dignidad a las personas con discapacidad. Se necesita un derecho fundamental específico que reconozca la dignidad de las personas con discapacidad y que la garantice para tener mejor calidad de vida."
1544,"para sequia, cambio climático , desertificación y deforestación :  la restauración integral de ecosistemas y cuencas es la solución ¡¡¡ :",555,2022-01-10 16:30:55,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Samuel Francke C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Entre los mayores  problemas socio-económicos y ambientales de Chile se reconoce que la desertificación cáncer de la naturaleza y sequia afectan al 75% del territorio nacional  ,lo que junto a los  procesos de erosión, o cáncer del suelo, constituyen desde el punto de vista ambiental y probablemente en términos socioeconómicos, los de mayor relevancia en el sector silvoagropecuario y ambiental a nivel nacional.
A nivel nacional, de acuerdo a las cifras oficiales 2010, la superficie total de suelos erosionados alcanza a 36.8 millones de hectáreas (49.1% del territorio nacional). Así como también asociado a ello los  eventos hidro-meteorológicos producto de la torrencialidad de las cuencas con manifestaciones catastróficas por cambio climático generan  inundaciones torrenciales en cuencas criticas y deforestadas afectando gravemente a ciudades y diversos poblados del  territorio nacional. 
Desde  la colonización española ,el posterior advenimiento de la era industrial y en  la actual sociedad  de consumo ,los bosques , dehesas y formaciones vegetacionales han retrocedido  sustancialmente y representaban en Chile dos tercios del territorio nacional. Desde la selva de san francisco del rio Copiapó, las pampas de tamarugos-algarrobos y chañares, los bosques ribereños y de galería de canelos y pataguas del rio Mapocho  y el bosque esclerófilo y la tierra de hoja de la zona central, los olivillos relictos vivientes del parque nacional fray Jorge, entre otros ecosistemas hasta la destrucción de los  bosques de robles, actualmente los tipos forestales  de araucaria  y alerces de la zona sur de chile ,actualmente monumentos naturales .
Como decía nuestro premio nobel Pablo Neruda quien no conoce el bosque nativo chileno no conoce este planeta . 
En la actualidad , los bosques naturales ,representan solo un quinto del territorio nacional  producto de un uso y abuso histórico y no sostenible de los recursos naturales, en base a  un desmonte mediante roce y fuego se ll"
1545,"Derechos para niños, niñas y jóvenes con Trastorno del Espectro Autista",567,2022-01-10 16:30:20,derechos,4 - Derechos Fundamentales,Por Valentina Ormazábal E.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En Chile los niños y niñas que son diagnosticados con Trastorno del Espectro Autista son discriminados en los establecimientos educacionales por profesionales de Educación que no cuentan con la capacitación adecuada para trabajar con los párvulos diagnosticados con Trastorno del Espectro Autista ya que los profesionales de Educación (profesores, asistentes de párvulos,etc.) no incluyen a los niños, niñas y jóvenes que padecen está condición en sus planificaciones lo hace difícil el aprendizaje para ellos"
1546,Derechos Humanos Reforzados con Protección Especial y Prioritaria para las Personas Mayores,187,2022-01-10 16:27:31,derechos,4 - Derechos Fundamentales,Por Mesa Coordinadora Nacional por los Derechos de las Personas Mayores,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La Asociación Mesa Coordinadora Nacional por los Derechos de las Personas Mayores, ha acordado hacer llegar a ustedes esta propuesta de Norma Constitucional, para ser incluida en la Nueva Carta Magna. 
El Art. 1° de la Declaración Universal de Derechos Humanos establece que Todos los seres humanos nacen libres e iguales en dignidad y derechos
Estos derechos no se pierden con el paso de los años, aún más, algunos segmentos del ciclo de vida deben estar doblemente protegidos por el Estado en razón de su fragilidad y vulnerabilidad; entre estos se encuentran los Adultos Mayores. 
Sin embargo, estos derechos para las Personas Mayores se han ido desvaneciendo en el tiempo hasta invisibilizarse hasta como personas, incluyendo el respeto y dignidad por el mal trato o violencia reiterativa."
1547,"Derecho a la Educación de niños, niñas y adolescentes con necesidades especiales de atención de salud y en situación de discapacidad. ",354,2022-01-10 16:26:41,derechos,4 - Derechos Fundamentales,Por APRENDO Corporación,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema principal que busca abordar esta propuesta es que en Chile existen niños, niñas y adolescentes con necesidades especiales de atención de salud (NANEAS) y/o en situación de discapacidad y que enfrentan una restricción médica para asistir a jardines infantiles o escuelas debido a su condición, quedando sin acceso al sistema educativo dado que en Chile actualmente y en este grupo en particular se vulnera el derecho fundamental de recibir educación, por ende este derecho no esta garantizado para todas las personas,"
1548,Cobertura Obligatoria Garantizada por las Previsiones de Salud en Casos y Diagnósticos de Enfermedades Raras.,2531,2022-01-10 16:26:24,derechos,4 - Derechos Fundamentales,Por Joaquín Cortés C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Según la Organización Mundial de la Salud (OMS), existen entre 5.000 y 7.000 enfermedades raras, la mayoría de origen genético, las cuales afectan entre un 6% y 8% de la población mundial y un 2% y 3% de la población en Chile. Esto es sin duda un gran problema para la salud de las personas debido a que en algunos casos, dependiendo de la enfermedad, se tiene poco conocimiento de esas enfermedades, lo que implica un inadecuado tratamiento de las mismas. Además de lo anterior, se dan casos en que las previsiones de salud no cubren los gastos y atenciones derivados de la enfermedad, por lo que si no se cuentan con los recursos, se impide un tratamiento propicio que podría derivar en consecuencias para la salud integral o incluso riesgos vitales. La actual Constitución Política de la República indica en su Artículo 19-N°9 lo siguiente: ""El derecho a la protección de la salud; El Estado protege el libre e igualitario acceso a las acciones de promoción, protección y recuperación de la salud y de rehabilitación del individuo; Le corresponderá, asimismo, la coordinación y control de las acciones relacionadas con la salud; Es deber preferente del Estado garantizar la ejecución de las acciones de salud, sea que se presten a través de instituciones públicas o privadas, en la forma y condiciones que determine la ley, la que podrá establecer cotizaciones obligatorias"". En el caso de las enfermedades raras, el problema radica en que ""las acciones de salud que se presten en instituciones públicas o privadas en la forma y condiciones que determine la ley"", ya que la legislación permite que las previsiones de salud se nieguen a dar cobertura a enfermedades preexistentes, englobando a la mayoría de enfermedades raras, puesto que al ser un gran porcentaje de ellas de causas genéticas son preexistentes. Si bien algunas de ellas están incluidas en el Listado de Prestaciones Específicas, no hay una cobertura integral para la totalidad de las enfermedades."
1549,Reconocer a la naturaleza como un sujeto de derecho.,251,2022-01-10 16:26:08,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Camila Ahumada C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La naturaleza esta totalmente relacionada con los seres humanos, es la base de la vida y su bienestar, por lo que la 
protección de la naturaleza debe ser una prioridad y reconocerlo como un sujeto jurídico puede generar garantías de esto; en especial en la crisis ambiental que se está viviendo por el actual sistema socio-económico, en el que no se considerado los límites la naturaleza, cuestión que ha llevado a la destrucción de esta. 
En esta constitución podemos cambiar la visión extrativista y antropocéntrica sobre la naturaleza de la actual Carta Magna para pasar a una visión biocentrica."
1550,Derecho de Vivienda e Inclusión Social de Personas en Situación de Discapacidad ,183,2022-01-10 16:25:54,derechos,4 - Derechos Fundamentales,Por Luciano Aguilera Alan,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Hola ! mi nombre es Luciano, tengo 26 años y vivo en la Araucanía, comuna de Freire, en el sector rural. Hace unos años mi mama (Marion) logro ser beneficiaria del subsidio rural a través de nuestra comunidad indígena y solicito la construcción de nuestra casa con las características de accesibilidad que contemplaba su proyecto de vivienda debido que mi padre (Claudio) presenta situación de discapacidad motora; sin embargo el proyecto de la empresa constructora solo contemplaba la implementación de una rampa y sus respectivos pasamanos, el lugar mas critico de toda vivienda para mujeres embarazadas, personas mayores, una persona en situación de discapacidad y su cuidadora, no contaba con ninguna norma de accesibilidad de acuerdo a lo establecido por el decreto N° 50 de vivienda y urbanismo. 
Hoy, me desempeño como Terapeuta Ocupacional en mi comuna y lamentablemente con mis usuarios, personas en situación de discapacidad y personas adultos mayores, se evidencian las mismas problemáticas en sus hogares: Dificultad en el acceso principal, puertas con un ancho inferior a los 85cm, manillas tipo pomo, ausencia de barras de apoyo, lavamanos con pedestal, tinas con alto peldaño y por sobre todo, un espacio libre reducido que no permite un giro en 360° de una persona en silla de ruedas, una persona con bastones de apoyo bilateral, un adulto mayor con andador o la movilidad de una persona en situación de discapacidad mas su cuidadora que ayuda o asiste sus actividades de higiene. 
En Octubre del 2021, logre concluir un diplomado de Gestión en discapacidad e inclusión social que reunió a funcionarios públicos de todo el país, y de acuerdo a sus relatos se repite la misma situación desde Arica a Magallanes: El ambiente físico en las viviendas de las personas mayores, personas en situación de discapacidad y sus cuidadores, no son accesibles y se identifican factores de riesgo o inviabilidad en la realización de la tarea, esto significa que las personas y/o sus cuidadoras deb"
1551,"Desprivatizar el agua para beneficio de la vida humana, flora y fauna del pais",789,2022-01-10 16:25:42,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Margarita González Z.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Pienso que el tema del agua no debiera ser propiedad de unos pocos es un derecho vital tener libre acceso al agua. Y esto también contribuye a mejorar la Bío diversidad de especies de la flora y fauna. Aparte de la vida humana.
